GOterm	disease_n	neutral_n	disease_p	neutral_p	golor	subontology	description
GO2000364	2	0	0.0020	0.0000	57.4428	biological_process	'regulation of STAT protein import into nucleus'
GO0061026	2	0	0.0020	0.0000	57.4428	biological_process	'cardiac muscle tissue regeneration'
GO0043653	2	0	0.0020	0.0000	57.4428	biological_process	'mitochondrial fragmentation involved in apoptotic process'
GO0021889	2	0	0.0020	0.0000	57.4428	biological_process	'olfactory bulb interneuron differentiation'
GO0021879	2	0	0.0020	0.0000	57.4428	biological_process	'forebrain neuron differentiation'
GO0021551	2	0	0.0020	0.0000	57.4428	biological_process	'central nervous system morphogenesis'
GO0000266	2	0	0.0020	0.0000	57.4428	biological_process	'mitochondrial fission'
GO0047323	1	0	0.0010	0.0000	56.4428	molecular_function	'[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity'
GO0046395	1	0	0.0010	0.0000	56.4428	biological_process	'carboxylic acid catabolic process'
GO0045240	1	0	0.0010	0.0000	56.4428	cellular_component	'dihydrolipoyl dehydrogenase complex'
GO0045239	1	0	0.0010	0.0000	56.4428	cellular_component	'tricarboxylic acid cycle enzyme complex'
GO0044282	1	0	0.0010	0.0000	56.4428	biological_process	'small molecule catabolic process'
GO0030062	1	0	0.0010	0.0000	56.4428	cellular_component	'mitochondrial tricarboxylic acid cycle enzyme complex'
GO0016054	1	0	0.0010	0.0000	56.4428	biological_process	'organic acid catabolic process'
GO0009083	1	0	0.0010	0.0000	56.4428	biological_process	'branched-chain amino acid catabolic process'
GO0009081	1	0	0.0010	0.0000	56.4428	biological_process	'branched-chain amino acid metabolic process'
GO0009063	1	0	0.0010	0.0000	56.4428	biological_process	'cellular amino acid catabolic process'
GO0006520	1	0	0.0010	0.0000	56.4428	biological_process	'cellular amino acid metabolic process'
GO0005947	1	0	0.0010	0.0000	56.4428	cellular_component	'mitochondrial alpha-ketoglutarate dehydrogenase complex'
GO0051608	110	2	0.1077	0.0007	7.1671	biological_process	'histamine transport'
GO0045117	110	2	0.1077	0.0007	7.1671	biological_process	'azole transport'
GO0002721	110	2	0.1077	0.0007	7.1671	biological_process	'regulation of B cell cytokine production'
GO0002712	110	2	0.1077	0.0007	7.1671	biological_process	'regulation of B cell mediated immunity'
GO0002553	110	2	0.1077	0.0007	7.1671	biological_process	'histamine secretion by mast cell'
GO0002441	110	2	0.1077	0.0007	7.1671	biological_process	'histamine secretion involved in inflammatory response'
GO0001821	110	2	0.1077	0.0007	7.1671	biological_process	'histamine secretion'
GO0005547	111	3	0.1087	0.0011	6.5952	molecular_function	'phosphatidylinositol-3,4,5-trisphosphate binding'
GO0050871	110	3	0.1077	0.0011	6.5822	biological_process	'positive regulation of B cell activation'
GO0045579	110	3	0.1077	0.0011	6.5822	biological_process	'positive regulation of B cell differentiation'
GO0002902	110	6	0.1077	0.0022	5.5822	biological_process	'regulation of B cell apoptotic process'
GO0042629	123	7	0.1205	0.0026	5.5209	cellular_component	'mast cell granule'
GO0071773	69	4	0.0676	0.0015	5.4943	biological_process	'cellular response to BMP stimulus'
GO0071772	69	4	0.0676	0.0015	5.4943	biological_process	'response to BMP'
GO0045603	69	4	0.0676	0.0015	5.4943	biological_process	'positive regulation of endothelial cell differentiation'
GO0045602	69	4	0.0676	0.0015	5.4943	biological_process	'negative regulation of endothelial cell differentiation'
GO0045601	69	4	0.0676	0.0015	5.4943	biological_process	'regulation of endothelial cell differentiation'
GO0035313	69	4	0.0676	0.0015	5.4943	biological_process	'wound healing, spreading of epidermal cells'
GO0032332	69	4	0.0676	0.0015	5.4943	biological_process	'positive regulation of chondrocyte differentiation'
GO0030857	69	4	0.0676	0.0015	5.4943	biological_process	'negative regulation of epithelial cell differentiation'
GO0008015	69	4	0.0676	0.0015	5.4943	biological_process	'blood circulation'
GO0002043	69	4	0.0676	0.0015	5.4943	biological_process	'blood vessel endothelial cell proliferation involved in sprouting angiogenesis'
GO0001955	69	4	0.0676	0.0015	5.4943	biological_process	'blood vessel maturation'
GO1901981	111	7	0.1087	0.0026	5.3728	molecular_function	'phosphatidylinositol phosphate binding'
GO0002706	110	7	0.1077	0.0026	5.3598	biological_process	'regulation of lymphocyte mediated immunity'
GO0009880	57	4	0.0558	0.0015	5.2187	biological_process	'embryonic pattern specification'
GO2000279	85	6	0.0833	0.0022	5.2102	biological_process	'negative regulation of DNA biosynthetic process'
GO0030513	85	6	0.0833	0.0022	5.2102	biological_process	'positive regulation of BMP signaling pathway'
GO0071550	14	1	0.0137	0.0004	5.1931	biological_process	'death-inducing signaling complex assembly'
GO0045104	14	1	0.0137	0.0004	5.1931	biological_process	'intermediate filament cytoskeleton organization'
GO0045103	14	1	0.0137	0.0004	5.1931	biological_process	'intermediate filament-based process'
GO0035023	14	1	0.0137	0.0004	5.1931	biological_process	'regulation of Rho protein signal transduction'
GO2000794	55	4	0.0539	0.0015	5.1671	biological_process	'regulation of epithelial cell proliferation involved in lung morphogenesis'
GO0097094	55	4	0.0539	0.0015	5.1671	biological_process	'craniofacial suture morphogenesis'
GO0072089	55	4	0.0539	0.0015	5.1671	biological_process	'stem cell proliferation'
GO0061031	55	4	0.0539	0.0015	5.1671	biological_process	'endodermal digestive tract morphogenesis'
GO0060916	55	4	0.0539	0.0015	5.1671	biological_process	'mesenchymal cell proliferation involved in lung development'
GO0060915	55	4	0.0539	0.0015	5.1671	biological_process	'mesenchymal cell differentiation involved in lung development'
GO0060742	55	4	0.0539	0.0015	5.1671	biological_process	'epithelial cell differentiation involved in prostate gland development'
GO0060737	55	4	0.0539	0.0015	5.1671	biological_process	'prostate gland morphogenetic growth'
GO0060736	55	4	0.0539	0.0015	5.1671	biological_process	'prostate gland growth'
GO0060687	55	4	0.0539	0.0015	5.1671	biological_process	'regulation of branching involved in prostate gland morphogenesis'
GO0060670	55	4	0.0539	0.0015	5.1671	biological_process	'branching involved in labyrinthine layer morphogenesis'
GO0060667	55	4	0.0539	0.0015	5.1671	biological_process	'branch elongation involved in salivary gland morphogenesis'
GO0060664	55	4	0.0539	0.0015	5.1671	biological_process	'epithelial cell proliferation involved in salivary gland morphogenesis'
GO0060615	55	4	0.0539	0.0015	5.1671	biological_process	'mammary gland bud formation'
GO0060602	55	4	0.0539	0.0015	5.1671	biological_process	'branch elongation of an epithelium'
GO0060601	55	4	0.0539	0.0015	5.1671	biological_process	'lateral sprouting from an epithelium'
GO0060595	55	4	0.0539	0.0015	5.1671	biological_process	'fibroblast growth factor receptor signaling pathway involved in mammary gland specification'
GO0060529	55	4	0.0539	0.0015	5.1671	biological_process	'squamous basal epithelial stem cell differentiation involved in prostate gland acinus development'
GO0060527	55	4	0.0539	0.0015	5.1671	biological_process	'prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis'
GO0060523	55	4	0.0539	0.0015	5.1671	biological_process	'prostate epithelial cord elongation'
GO0060512	55	4	0.0539	0.0015	5.1671	biological_process	'prostate gland morphogenesis'
GO0060501	55	4	0.0539	0.0015	5.1671	biological_process	'positive regulation of epithelial cell proliferation involved in lung morphogenesis'
GO0060449	55	4	0.0539	0.0015	5.1671	biological_process	'bud elongation involved in lung branching'
GO0060442	55	4	0.0539	0.0015	5.1671	biological_process	'branching involved in prostate gland morphogenesis'
GO0060365	55	4	0.0539	0.0015	5.1671	biological_process	'coronal suture morphogenesis'
GO0060363	55	4	0.0539	0.0015	5.1671	biological_process	'cranial suture morphogenesis'
GO0060174	55	4	0.0539	0.0015	5.1671	biological_process	'limb bud formation'
GO0055010	55	4	0.0539	0.0015	5.1671	biological_process	'ventricular cardiac muscle tissue morphogenesis'
GO0051150	55	4	0.0539	0.0015	5.1671	biological_process	'regulation of smooth muscle cell differentiation'
GO0050853	110	8	0.1077	0.0030	5.1671	biological_process	'B cell receptor signaling pathway'
GO0048730	55	4	0.0539	0.0015	5.1671	biological_process	'epidermis morphogenesis'
GO0048333	55	4	0.0539	0.0015	5.1671	biological_process	'mesodermal cell differentiation'
GO0035604	55	4	0.0539	0.0015	5.1671	biological_process	'fibroblast growth factor receptor signaling pathway involved in positive regulation of cell proliferation in bone marrow'
GO0035603	55	4	0.0539	0.0015	5.1671	biological_process	'fibroblast growth factor receptor signaling pathway involved in hemopoiesis'
GO0035602	55	4	0.0539	0.0015	5.1671	biological_process	'fibroblast growth factor receptor signaling pathway involved in negative regulation of apoptotic process in bone marrow'
GO0032808	55	4	0.0539	0.0015	5.1671	biological_process	'lacrimal gland development'
GO0031069	55	4	0.0539	0.0015	5.1671	biological_process	'hair follicle morphogenesis'
GO0030916	55	4	0.0539	0.0015	5.1671	biological_process	'otic vesicle formation'
GO0021884	55	4	0.0539	0.0015	5.1671	biological_process	'forebrain neuron development'
GO0021860	55	4	0.0539	0.0015	5.1671	biological_process	'pyramidal neuron development'
GO0021769	55	4	0.0539	0.0015	5.1671	biological_process	'orbitofrontal cortex development'
GO0016331	55	4	0.0539	0.0015	5.1671	biological_process	'morphogenesis of embryonic epithelium'
GO0010463	55	4	0.0539	0.0015	5.1671	biological_process	'mesenchymal cell proliferation'
GO0003149	55	4	0.0539	0.0015	5.1671	biological_process	'membranous septum morphogenesis'
GO0003148	55	4	0.0539	0.0015	5.1671	biological_process	'outflow tract septum morphogenesis'
GO0002067	55	4	0.0539	0.0015	5.1671	biological_process	'glandular epithelial cell differentiation'
GO0098609	113	9	0.1107	0.0034	5.0360	biological_process	'cell-cell adhesion'
GO0097021	113	9	0.1107	0.0034	5.0360	biological_process	'lymphocyte migration into lymphoid organs'
GO0090193	113	9	0.1107	0.0034	5.0360	biological_process	'positive regulation of glomerulus development'
GO0090192	113	9	0.1107	0.0034	5.0360	biological_process	'regulation of glomerulus development'
GO0090184	113	9	0.1107	0.0034	5.0360	biological_process	'positive regulation of kidney development'
GO0072300	113	9	0.1107	0.0034	5.0360	biological_process	'positive regulation of metanephric glomerulus development'
GO0072298	113	9	0.1107	0.0034	5.0360	biological_process	'regulation of metanephric glomerulus development'
GO0072216	113	9	0.1107	0.0034	5.0360	biological_process	'positive regulation of metanephros development'
GO0061146	113	9	0.1107	0.0034	5.0360	biological_process	'Peyers patch morphogenesis'
GO0048799	113	9	0.1107	0.0034	5.0360	biological_process	'organ maturation'
GO0048484	113	9	0.1107	0.0034	5.0360	biological_process	'enteric nervous system development'
GO0035799	113	9	0.1107	0.0034	5.0360	biological_process	'ureter maturation'
GO0014042	113	9	0.1107	0.0034	5.0360	biological_process	'positive regulation of neuron maturation'
GO0007497	113	9	0.1107	0.0034	5.0360	biological_process	'posterior midgut development'
GO0007158	113	9	0.1107	0.0034	5.0360	biological_process	'neuron cell-cell adhesion'
GO0007156	113	9	0.1107	0.0034	5.0360	biological_process	'homophilic cell adhesion'
GO0001656	113	9	0.1107	0.0034	5.0360	biological_process	'metanephros development'
GO0060045	125	10	0.1224	0.0037	5.0296	biological_process	'positive regulation of cardiac muscle cell proliferation'
GO0072164	236	19	0.2311	0.0071	5.0205	biological_process	'mesonephric tubule development'
GO0072163	236	19	0.2311	0.0071	5.0205	biological_process	'mesonephric epithelium development'
GO0072073	236	19	0.2311	0.0071	5.0205	biological_process	'kidney epithelium development'
GO0001657	236	19	0.2311	0.0071	5.0205	biological_process	'ureteric bud development'
GO0060445	123	10	0.1205	0.0037	5.0064	biological_process	'branching involved in salivary gland morphogenesis'
GO0055057	123	10	0.1205	0.0037	5.0064	biological_process	'neuroblast division'
GO0036445	123	10	0.1205	0.0037	5.0064	biological_process	'neuronal stem cell division'
GO0035607	123	10	0.1205	0.0037	5.0064	biological_process	'fibroblast growth factor receptor signaling pathway involved in orbitofrontal cortex development'
GO0030901	123	10	0.1205	0.0037	5.0064	biological_process	'midbrain development'
GO0021873	123	10	0.1205	0.0037	5.0064	biological_process	'forebrain neuroblast division'
GO0021869	123	10	0.1205	0.0037	5.0064	biological_process	'forebrain ventricular zone progenitor cell division'
GO0021847	123	10	0.1205	0.0037	5.0064	biological_process	'ventricular zone neuroblast division'
GO0010812	73	6	0.0715	0.0022	4.9906	biological_process	'negative regulation of cell-substrate adhesion'
GO0001953	73	6	0.0715	0.0022	4.9906	biological_process	'negative regulation of cell-matrix adhesion'
GO0061035	84	7	0.0823	0.0026	4.9707	biological_process	'regulation of cartilage development'
GO0032330	84	7	0.0823	0.0026	4.9707	biological_process	'regulation of chondrocyte differentiation'
GO0001937	84	7	0.0823	0.0026	4.9707	biological_process	'negative regulation of endothelial cell proliferation'
GO1901889	69	6	0.0676	0.0022	4.9093	biological_process	'negative regulation of cell junction assembly'
GO0051895	69	6	0.0676	0.0022	4.9093	biological_process	'negative regulation of focal adhesion assembly'
GO0060119	68	6	0.0666	0.0022	4.8883	biological_process	'inner ear receptor cell development'
GO0060117	68	6	0.0666	0.0022	4.8883	biological_process	'auditory receptor cell development'
GO0048339	68	6	0.0666	0.0022	4.8883	biological_process	'paraxial mesoderm development'
GO0045666	68	6	0.0666	0.0022	4.8883	biological_process	'positive regulation of neuron differentiation'
GO0042474	68	6	0.0666	0.0022	4.8883	biological_process	'middle ear morphogenesis'
GO0042473	68	6	0.0666	0.0022	4.8883	biological_process	'outer ear morphogenesis'
GO0035113	68	6	0.0666	0.0022	4.8883	biological_process	'embryonic appendage morphogenesis'
GO0030326	68	6	0.0666	0.0022	4.8883	biological_process	'embryonic limb morphogenesis'
GO0033630	113	10	0.1107	0.0037	4.8840	biological_process	'positive regulation of cell adhesion mediated by integrin'
GO0097480	55	5	0.0539	0.0019	4.8452	biological_process	'establishment of synaptic vesicle localization'
GO0048489	55	5	0.0539	0.0019	4.8452	biological_process	'synaptic vesicle transport'
GO0048185	77	7	0.0754	0.0026	4.8452	molecular_function	'activin binding'
GO0010453	131	12	0.1283	0.0045	4.8342	biological_process	'regulation of cell fate commitment'
GO0060841	87	8	0.0852	0.0030	4.8287	biological_process	'venous blood vessel development'
GO0060840	87	8	0.0852	0.0030	4.8287	biological_process	'artery development'
GO0060836	87	8	0.0852	0.0030	4.8287	biological_process	'lymphatic endothelial cell differentiation'
GO0048762	138	13	0.1352	0.0049	4.7939	biological_process	'mesenchymal cell differentiation'
GO0045793	116	11	0.1136	0.0041	4.7843	biological_process	'positive regulation of cell size'
GO0040014	73	7	0.0715	0.0026	4.7682	biological_process	'regulation of multicellular organism growth'
GO0060043	145	14	0.1420	0.0052	4.7583	biological_process	'regulation of cardiac muscle cell proliferation'
GO0001755	123	12	0.1205	0.0045	4.7433	biological_process	'neural crest cell migration'
GO0071695	200	20	0.1959	0.0075	4.7077	biological_process	'anatomical structure maturation'
GO0045577	110	11	0.1077	0.0041	4.7077	biological_process	'regulation of B cell differentiation'
GO0001837	70	7	0.0686	0.0026	4.7077	biological_process	'epithelial to mesenchymal transition'
GO0072676	119	12	0.1166	0.0045	4.6956	biological_process	'lymphocyte migration'
GO0043537	69	7	0.0676	0.0026	4.6869	biological_process	'negative regulation of blood vessel endothelial cell migration'
GO0010633	69	7	0.0676	0.0026	4.6869	biological_process	'negative regulation of epithelial cell migration'
GO0010596	69	7	0.0676	0.0026	4.6869	biological_process	'negative regulation of endothelial cell migration'
GO0048378	76	8	0.0744	0.0030	4.6337	biological_process	'regulation of lateral mesodermal cell fate specification'
GO0042661	76	8	0.0744	0.0030	4.6337	biological_process	'regulation of mesodermal cell fate specification'
GO0042659	76	8	0.0744	0.0030	4.6337	biological_process	'regulation of cell fate specification'
GO0035265	57	6	0.0558	0.0022	4.6337	biological_process	'organ growth'
GO0030510	85	9	0.0833	0.0034	4.6252	biological_process	'regulation of BMP signaling pathway'
GO0060348	66	7	0.0646	0.0026	4.6228	biological_process	'bone development'
GO0033619	113	12	0.1107	0.0045	4.6210	biological_process	'membrane protein proteolysis'
GO0060463	75	8	0.0735	0.0030	4.6146	biological_process	'lung lobe morphogenesis'
GO0001822	130	14	0.1273	0.0052	4.6008	biological_process	'kidney development'
GO0048755	55	6	0.0539	0.0022	4.5822	biological_process	'branching morphogenesis of a nerve'
GO0035264	55	6	0.0539	0.0022	4.5822	biological_process	'multicellular organism growth'
GO0033688	55	6	0.0539	0.0022	4.5822	biological_process	'regulation of osteoblast proliferation'
GO0048103	136	15	0.1332	0.0056	4.5663	biological_process	'somatic stem cell division'
GO0017145	136	15	0.1332	0.0056	4.5663	biological_process	'stem cell division'
GO0060420	145	16	0.1420	0.0060	4.5657	biological_process	'regulation of heart growth'
GO0055024	145	16	0.1420	0.0060	4.5657	biological_process	'regulation of cardiac muscle tissue development'
GO0055021	145	16	0.1420	0.0060	4.5657	biological_process	'regulation of cardiac muscle tissue growth'
GO0071277	36	4	0.0353	0.0015	4.5557	biological_process	'cellular response to calcium ion'
GO0071248	36	4	0.0353	0.0015	4.5557	biological_process	'cellular response to metal ion'
GO0060411	63	7	0.0617	0.0026	4.5557	biological_process	'cardiac septum morphogenesis'
GO0060384	116	13	0.1136	0.0049	4.5433	biological_process	'innervation'
GO0048265	116	13	0.1136	0.0049	4.5433	biological_process	'response to pain'
GO0033555	116	13	0.1136	0.0049	4.5433	biological_process	'multicellular organismal response to stress'
GO0050680	168	19	0.1645	0.0071	4.5302	biological_process	'negative regulation of epithelial cell proliferation'
GO2000380	76	9	0.0744	0.0034	4.4638	biological_process	'regulation of mesoderm development'
GO0048863	151	18	0.1479	0.0067	4.4543	biological_process	'stem cell differentiation'
GO0051650	58	7	0.0568	0.0026	4.4364	biological_process	'establishment of vesicle localization'
GO0072175	113	14	0.1107	0.0052	4.3986	biological_process	'epithelial tube formation'
GO0042551	113	14	0.1107	0.0052	4.3986	biological_process	'neuron maturation'
GO0001838	113	14	0.1107	0.0052	4.3986	biological_process	'embryonic epithelial tube formation'
GO0060076	56	7	0.0548	0.0026	4.3858	cellular_component	'excitatory synapse'
GO0050431	112	14	0.1097	0.0052	4.3858	molecular_function	'transforming growth factor beta binding'
GO0045906	16	2	0.0157	0.0007	4.3858	biological_process	'negative regulation of vasoconstriction'
GO0045776	16	2	0.0157	0.0007	4.3858	biological_process	'negative regulation of blood pressure'
GO0035295	272	34	0.2664	0.0127	4.3858	biological_process	'tube development'
GO0016362	16	2	0.0157	0.0007	4.3858	molecular_function	'activin receptor activity, type II'
GO0014916	16	2	0.0157	0.0007	4.3858	biological_process	'regulation of lung blood pressure'
GO0003085	16	2	0.0157	0.0007	4.3858	biological_process	'negative regulation of systemic arterial blood pressure'
GO0001974	87	11	0.0852	0.0041	4.3693	biological_process	'blood vessel remodeling'
GO0072215	117	15	0.1146	0.0056	4.3492	biological_process	'regulation of metanephros development'
GO0008361	117	15	0.1146	0.0056	4.3492	biological_process	'regulation of cell size'
GO0061154	69	9	0.0676	0.0034	4.3244	biological_process	'endothelial tube morphogenesis'
GO0003159	69	9	0.0676	0.0034	4.3244	biological_process	'morphogenesis of an endothelium'
GO0090183	117	16	0.1146	0.0060	4.2561	biological_process	'regulation of kidney development'
GO0005025	95	13	0.0930	0.0049	4.2552	molecular_function	'transforming growth factor beta receptor activity, type I'
GO1901681	123	17	0.1205	0.0064	4.2408	molecular_function	'sulfur compound binding'
GO0008201	123	17	0.1205	0.0064	4.2408	molecular_function	'heparin binding'
GO0045621	136	19	0.1332	0.0071	4.2253	biological_process	'positive regulation of lymphocyte differentiation'
GO0007498	191	27	0.1871	0.0101	4.2083	biological_process	'mesoderm development'
GO2001241	113	16	0.1107	0.0060	4.2060	biological_process	'positive regulation of extrinsic apoptotic signaling pathway in absence of ligand'
GO2000641	7	1	0.0069	0.0004	4.1931	biological_process	'regulation of early endosome to late endosome transport'
GO0090170	7	1	0.0069	0.0004	4.1931	biological_process	'regulation of Golgi inheritance'
GO0051645	7	1	0.0069	0.0004	4.1931	biological_process	'Golgi localization'
GO0048557	56	8	0.0548	0.0030	4.1931	biological_process	'embryonic digestive tract morphogenesis'
GO0031143	14	2	0.0137	0.0007	4.1931	cellular_component	'pseudopodium'
GO0021954	56	8	0.0548	0.0030	4.1931	biological_process	'central nervous system neuron development'
GO0044319	69	10	0.0676	0.0037	4.1724	biological_process	'wound healing, spreading of cells'
GO0021700	379	55	0.3712	0.0206	4.1705	biological_process	'developmental maturation'
GO0060484	123	18	0.1205	0.0067	4.1584	biological_process	'lung-associated mesenchyme development'
GO0005539	143	21	0.1401	0.0079	4.1533	molecular_function	'glycosaminoglycan binding'
GO0002065	68	10	0.0666	0.0037	4.1513	biological_process	'columnar/cuboidal epithelial cell differentiation'
GO0048565	88	13	0.0862	0.0049	4.1448	biological_process	'digestive tract development'
GO0070307	73	11	0.0715	0.0041	4.1162	biological_process	'lens fiber cell development'
GO0060349	73	11	0.0715	0.0041	4.1162	biological_process	'bone morphogenesis'
GO0048469	292	44	0.2860	0.0165	4.1162	biological_process	'cell maturation'
GO0090080	86	13	0.0842	0.0049	4.1116	biological_process	'positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway'
GO0005764	141	22	0.1381	0.0082	4.0659	cellular_component	'lysosome'
GO0000323	141	22	0.1381	0.0082	4.0659	cellular_component	'lytic vacuole'
GO1901861	153	24	0.1499	0.0090	4.0582	biological_process	'regulation of muscle tissue development'
GO0048634	153	24	0.1499	0.0090	4.0582	biological_process	'regulation of muscle organ development'
GO0016202	153	24	0.1499	0.0090	4.0582	biological_process	'regulation of striated muscle tissue development'
GO0030282	56	9	0.0548	0.0034	4.0232	biological_process	'bone mineralization'
GO0017002	93	15	0.0911	0.0056	4.0180	molecular_function	'activin-activated receptor activity'
GO0040036	55	9	0.0539	0.0034	3.9972	biological_process	'regulation of fibroblast growth factor receptor signaling pathway'
GO0060393	116	19	0.1136	0.0071	3.9958	biological_process	'regulation of pathway-restricted SMAD protein phosphorylation'
GO0010862	116	19	0.1136	0.0071	3.9958	biological_process	'positive regulation of pathway-restricted SMAD protein phosphorylation'
GO0035108	79	13	0.0774	0.0049	3.9891	biological_process	'limb morphogenesis'
GO0035107	79	13	0.0774	0.0049	3.9891	biological_process	'appendage morphogenesis'
GO0048704	91	15	0.0891	0.0056	3.9867	biological_process	'embryonic skeletal system morphogenesis'
GO0048701	91	15	0.0891	0.0056	3.9867	biological_process	'embryonic cranial skeleton morphogenesis'
GO2000653	18	3	0.0176	0.0011	3.9707	biological_process	'regulation of genetic imprinting'
GO2000270	18	3	0.0176	0.0011	3.9707	biological_process	'negative regulation of fibroblast apoptotic process'
GO0052813	18	3	0.0176	0.0011	3.9707	molecular_function	'phosphatidylinositol bisphosphate kinase activity'
GO0046934	18	3	0.0176	0.0011	3.9707	molecular_function	'phosphatidylinositol-4,5-bisphosphate 3-kinase activity'
GO0044030	18	3	0.0176	0.0011	3.9707	biological_process	'regulation of DNA methylation'
GO0044029	18	3	0.0176	0.0011	3.9707	biological_process	'hypomethylation of CpG island'
GO0044028	18	3	0.0176	0.0011	3.9707	biological_process	'DNA hypomethylation'
GO0035005	18	3	0.0176	0.0011	3.9707	molecular_function	'1-phosphatidylinositol-4-phosphate 3-kinase activity'
GO0016307	18	3	0.0176	0.0011	3.9707	molecular_function	'phosphatidylinositol phosphate kinase activity'
GO0005943	18	3	0.0176	0.0011	3.9707	cellular_component	'1-phosphatidylinositol-4-phosphate 3-kinase, class IA complex'
GO0016361	77	13	0.0754	0.0049	3.9521	molecular_function	'activin receptor activity, type I'
GO0030509	106	18	0.1038	0.0067	3.9438	biological_process	'BMP signaling pathway'
GO0017134	141	24	0.1381	0.0090	3.9404	molecular_function	'fibroblast growth factor binding'
GO0005007	141	24	0.1381	0.0090	3.9404	molecular_function	'fibroblast growth factor-activated receptor activity'
GO0010470	76	13	0.0744	0.0049	3.9333	biological_process	'regulation of gastrulation'
GO0070228	110	19	0.1077	0.0071	3.9192	biological_process	'regulation of lymphocyte apoptotic process'
GO0030858	69	12	0.0676	0.0045	3.9093	biological_process	'positive regulation of epithelial cell differentiation'
GO0060693	86	15	0.0842	0.0056	3.9051	biological_process	'regulation of branching involved in salivary gland morphogenesis'
GO0060665	86	15	0.0842	0.0056	3.9051	biological_process	'regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling'
GO0060638	86	15	0.0842	0.0056	3.9051	biological_process	'mesenchymal-epithelial cell signaling'
