#GENE	UNI_ID	UNI_ACC	ENSP	GROUP
CHEK2	CHK2_HUMAN	O96017	ENSP00000372023	CAMK
DAPK1	DAPK1_HUMAN	P53355	ENSP00000417076	CAMK
DAPK2	DAPK2_HUMAN	Q9UIK4	ENSP00000261891	CAMK
DAPK3	DAPK3_HUMAN	O43293	ENSP00000301264	CAMK
DCLK1	DCLK1_HUMAN	O15075	ENSP00000255448	CAMK
DCLK2	DCLK2_HUMAN	Q8N568	ENSP00000303887	CAMK
DCLK3	DCLK3_HUMAN	Q9C098	ENSP00000394484	CAMK
HUNK	HUNK_HUMAN	P57058	ENSP00000270112	CAMK
KALRN	KALRN_HUMAN	O60229	ENSP00000353109	CAMK
MAPKAPK2	MAPK2_HUMAN	P49137	ENSP00000356070	CAMK
MAPKAPK3	MAPK3_HUMAN	Q16644	ENSP00000396467	CAMK
MAPKAPK5	MAPK5_HUMAN	Q8IW41	ENSP00000449381	CAMK
MARK1	MARK1_HUMAN	Q9P0L2	ENSP00000355884	CAMK
MARK2	MARK2_HUMAN	Q7KZI7	ENSP00000385751	CAMK
MARK3	MARK3_HUMAN	P27448	ENSP00000411397	CAMK
MARK4	MARK4_HUMAN	Q96L34	ENSP00000262891	CAMK
MELK	MELK_HUMAN	Q14680	ENSP00000298048	CAMK
MKNK1	MKNK1_HUMAN	Q9BUB5	ENSP00000361014	CAMK
MKNK2	MKNK2_HUMAN	Q9HBH9	ENSP00000467811	CAMK
MYLK	MYLK_HUMAN	Q15746	ENSP00000418335	CAMK
MYLK2	MYLK2_HUMAN	Q9H1R3	ENSP00000365162	CAMK
MYLK3	MYLK3_HUMAN	Q32MK0	ENSP00000378288	CAMK
MYLK4	MYLK4_HUMAN	Q86YV6	ENSP00000274643	CAMK
NIM1K	NIM1_HUMAN	Q8IY84	ENSP00000313572	CAMK
NUAK1	NUAK1_HUMAN	O60285	ENSP00000261402	CAMK
NUAK2	NUAK2_HUMAN	Q9H093	ENSP00000356125	CAMK
OBSCN	OBSCN_HUMAN	Q5VST9	ENSP00000455507	CAMK
PASK	PASK_HUMAN	Q96RG2	ENSP00000351475	CAMK
PHKG1	PHKG1_HUMAN	Q16816	ENSP00000297373	CAMK
PHKG2	PHKG2_HUMAN	P15735	ENSP00000329968	CAMK
PIM1	PIM1_HUMAN	P11309	ENSP00000362608	CAMK
PIM2	PIM2_HUMAN	Q9P1W9	ENSP00000365692	CAMK
PIM3	PIM3_HUMAN	Q86V86	ENSP00000353824	CAMK
PNCK	KCC1B_HUMAN	Q6P2M8	ENSP00000340586	CAMK
PRKAA1	AAPK1_HUMAN	Q13131	ENSP00000380317	CAMK
PRKAA2	AAPK2_HUMAN	P54646	ENSP00000360290	CAMK
PRKD1	KPCD1_HUMAN	Q15139	ENSP00000390535	CAMK
PRKD2	KPCD2_HUMAN	Q9BZL6	ENSP00000291281	CAMK
PRKD3	KPCD3_HUMAN	O94806	ENSP00000368356	CAMK
PSKH1	KPSH1_HUMAN	P11801	ENSP00000291041	CAMK
PSKH2	KPSH2_HUMAN	Q96QS6	ENSP00000276616	CAMK
SIK1	SIK1_HUMAN	P57059	ENSP00000270162	CAMK
SIK2	SIK2_HUMAN	Q9H0K1	ENSP00000305976	CAMK
SIK3	SIK3_HUMAN	Q9Y2K2	ENSP00000364449	CAMK
SNRK	SNRK_HUMAN	Q9NRH2	ENSP00000401246	CAMK
SPEG	SPEG_HUMAN	Q15772	ENSP00000311684	CAMK
STK11	STK11_HUMAN	Q15831	ENSP00000324856	CAMK
STK17A	ST17A_HUMAN	Q9UEE5	ENSP00000319192	CAMK
STK17B	ST17B_HUMAN	O94768	ENSP00000386853	CAMK
STK33	STK33_HUMAN	Q9BYT3	ENSP00000379905	CAMK
STK40	STK40_HUMAN	Q8N2I9	ENSP00000362222	CAMK
TRIB1	TRIB1_HUMAN	Q96RU8	ENSP00000312150	CAMK
TRIB2	TRIB2_HUMAN	Q92519	ENSP00000155926	CAMK
TRIB3	TRIB3_HUMAN	Q96RU7	ENSP00000217233	CAMK
TRIO	TRIO_HUMAN	O75962	ENSP00000339299	CAMK
TSSK1B	TSSK1_HUMAN	Q9BXA7	ENSP00000375081	CAMK
TSSK2	TSSK2_HUMAN	Q96PF2	ENSP00000382544	CAMK
TSSK3	TSSK3_HUMAN	Q96PN8	ENSP00000362634	CAMK
TSSK4	TSSK4_HUMAN	Q6SA08	ENSP00000339179	CAMK
TSSK6	TSSK6_HUMAN	Q9BXA6	ENSP00000466477	CAMK
TTN	TITIN_HUMAN	Q8WZ42	ENSP00000467141	CAMK
CSNK1A1	KC1A_HUMAN	P48729	ENSP00000261798	CK1
CSNK1A1L	KC1AL_HUMAN	Q8N752	ENSP00000369126	CK1
CSNK1D	KC1D_HUMAN	P48730	ENSP00000324464	CK1
CSNK1E	KC1E_HUMAN	P49674	ENSP00000380044	CK1
CSNK1G1	KC1G1_HUMAN	Q9HCP0	ENSP00000305777	CK1
CSNK1G2	KC1G2_HUMAN	P78368	ENSP00000255641	CK1
CSNK1G3	KC1G3_HUMAN	Q9Y6M4	ENSP00000378807	CK1
TTBK1	TTBK1_HUMAN	Q5TCY1	ENSP00000259750	CK1
TTBK2	TTBK2_HUMAN	Q6IQ55	ENSP00000267890	CK1
VRK1	VRK1_HUMAN	Q99986	ENSP00000216639	CK1
VRK2	VRK2_HUMAN	Q86Y07	ENSP00000408002	CK1
VRK3	VRK3_HUMAN	Q8IV63	ENSP00000324636	CK1
CDK1	CDK1_HUMAN	P06493	ENSP00000397973	CMGC
CDK10	CDK10_HUMAN	Q15131	ENSP00000338673	CMGC
CDK11A	CD11A_HUMAN	Q9UQ88	ENSP00000351629	CMGC
CDK11B	CD11B_HUMAN	P21127	-	CMGC
CDK12	CDK12_HUMAN	Q9NYV4	ENSP00000398880	CMGC
CDK13	CDK13_HUMAN	Q14004	ENSP00000181839	CMGC
CDK14	CDK14_HUMAN	O94921	ENSP00000369390	CMGC
CDK15	CDK15_HUMAN	Q96Q40	ENSP00000363726	CMGC
CDK16	CDK16_HUMAN	Q00536	ENSP00000429751	CMGC
CDK17	CDK17_HUMAN	Q00537	ENSP00000261211	CMGC
CDK18	CDK18_HUMAN	Q07002	ENSP00000399082	CMGC
CDK19	CDK19_HUMAN	Q9BWU1	ENSP00000357907	CMGC
CDK2	CDK2_HUMAN	P24941	ENSP00000266970	CMGC
CDK20	CDK20_HUMAN	Q8IZL9	ENSP00000322343	CMGC
CDK3	CDK3_HUMAN	Q00526	ENSP00000400088	CMGC
CDK4	CDK4_HUMAN	P11802	ENSP00000257904	CMGC
CDK5	CDK5_HUMAN	Q00535	ENSP00000419782	CMGC
CDK6	CDK6_HUMAN	Q00534	ENSP00000397087	CMGC
CDK7	CDK7_HUMAN	P50613	ENSP00000256443	CMGC
CDK8	CDK8_HUMAN	P49336	ENSP00000370938	CMGC
CDK9	CDK9_HUMAN	P50750	ENSP00000362361	CMGC
CDKL1	CDKL1_HUMAN	Q00532	ENSP00000379176	CMGC
CDKL2	CDKL2_HUMAN	Q92772	ENSP00000306340	CMGC
CDKL3	CDKL3_HUMAN	Q8IVW4	ENSP00000265334	CMGC
CDKL4	CDKL4_HUMAN	Q5MAI5	ENSP00000378476	CMGC
CDKL5	CDKL5_HUMAN	O76039	ENSP00000369332	CMGC
CLK1	CLK1_HUMAN	P49759	ENSP00000326830	CMGC
CLK2	CLK2_HUMAN	P49760	ENSP00000441023	CMGC
CLK3	CLK3_HUMAN	P49761	ENSP00000344112	CMGC
CLK4	CLK4_HUMAN	Q9HAZ1	ENSP00000316948	CMGC
DYRK1A	DYR1A_HUMAN	Q13627	ENSP00000381932	CMGC
DYRK1B	DYR1B_HUMAN	Q9Y463	ENSP00000312789	CMGC
DYRK2	DYRK2_HUMAN	Q92630	ENSP00000342105	CMGC
DYRK3	DYRK3_HUMAN	O43781	ENSP00000356076	CMGC
DYRK4	DYRK4_HUMAN	Q9NR20	ENSP00000441755	CMGC
GSK3A	GSK3A_HUMAN	P49840	ENSP00000222330	CMGC
GSK3B	GSK3B_HUMAN	P49841	ENSP00000264235	CMGC
HIPK1	HIPK1_HUMAN	Q86Z02	-	CMGC
HIPK2	HIPK2_HUMAN	Q9H2X6	ENSP00000385571	CMGC
HIPK3	HIPK3_HUMAN	Q9H422	ENSP00000368301	CMGC
HIPK4	HIPK4_HUMAN	Q8NE63	ENSP00000291823	CMGC
ICK	ICK_HUMAN	Q9UPZ9	ENSP00000349458	CMGC
MAK	MAK_HUMAN	P20794	ENSP00000313021	CMGC
MAPK1	MK01_HUMAN	P28482	ENSP00000215832	CMGC
MAPK10	MK10_HUMAN	P53779	ENSP00000378595	CMGC
MAPK11	MK11_HUMAN	Q15759	ENSP00000333685	CMGC
MAPK12	MK12_HUMAN	P53778	ENSP00000215659	CMGC
MAPK13	MK13_HUMAN	O15264	ENSP00000211287	CMGC
MAPK14	MK14_HUMAN	Q16539	ENSP00000229794	CMGC
MAPK15	MK15_HUMAN	Q8TD08	ENSP00000337691	CMGC
MAPK3	MK03_HUMAN	P27361	ENSP00000263025	CMGC
MAPK4	MK04_HUMAN	P31152	ENSP00000383234	CMGC
MAPK6	MK06_HUMAN	Q16659	ENSP00000261845	CMGC
MAPK7	MK07_HUMAN	Q13164	ENSP00000311005	CMGC
MAPK8	MK08_HUMAN	P45983	ENSP00000353483	CMGC
MAPK9	MK09_HUMAN	P45984	ENSP00000389338	CMGC
MOK	MOK_HUMAN	Q9UQ07	ENSP00000355304	CMGC
NLK	NLK_HUMAN	Q9UBE8	ENSP00000384625	CMGC
PRPF4B	PRP4B_HUMAN	Q13523	ENSP00000337194	CMGC
SRPK1	SRPK1_HUMAN	Q96SB4	ENSP00000362931	CMGC
SRPK2	SRPK2_HUMAN	P78362	ENSP00000377262	CMGC
SRPK3	SRPK3_HUMAN	Q9UPE1	ENSP00000420058	CMGC
NEK1	NEK1_HUMAN	Q96PY6	ENSP00000424757	NEK
NEK10	NEK10_HUMAN	Q6ZWH5	ENSP00000395849	NEK
NEK11	NEK11_HUMAN	Q8NG66	ENSP00000372857	NEK
NEK2	NEK2_HUMAN	P51955	ENSP00000355966	NEK
NEK3	NEK3_HUMAN	P51956	ENSP00000367341	NEK
NEK4	NEK4_HUMAN	P51957	ENSP00000233027	NEK
NEK5	NEK5_HUMAN	Q6P3R8	ENSP00000347767	NEK
NEK6	NEK6_HUMAN	Q9HC98	ENSP00000442636	NEK
NEK7	NEK7_HUMAN	Q8TDX7	ENSP00000444621	NEK
NEK8	NEK8_HUMAN	Q86SG6	ENSP00000268766	NEK
NEK9	NEK9_HUMAN	Q8TD19	ENSP00000238616	NEK
GUCY2C	GUC2C_HUMAN	P25092	ENSP00000261170	RGC
GUCY2D	GUC2D_HUMAN	Q02846	ENSP00000254854	RGC
GUCY2F	GUC2F_HUMAN	P51841	ENSP00000218006	RGC
NPR1	ANPRA_HUMAN	P16066	ENSP00000357669	RGC
NPR2	ANPRB_HUMAN	P20594	ENSP00000341083	RGC
MAP2K1	MP2K1_HUMAN	Q02750	ENSP00000302486	STE
MAP2K2	MP2K2_HUMAN	P36507	ENSP00000262948	STE
MAP2K3	MP2K3_HUMAN	P46734	ENSP00000345083	STE
MAP2K4	MP2K4_HUMAN	P45985	ENSP00000410402	STE
MAP2K5	MP2K5_HUMAN	Q13163	ENSP00000178640	STE
MAP2K6	MP2K6_HUMAN	P52564	ENSP00000468348	STE
MAP2K7	MP2K7_HUMAN	O14733	ENSP00000381070	STE
MAP3K1	M3K1_HUMAN	Q13233	ENSP00000382423	STE
MAP3K10	M3K10_HUMAN	Q02779	ENSP00000253055	STE
MAP3K11	M3K11_HUMAN	Q16584	ENSP00000309597	STE
MAP3K12	M3K12_HUMAN	Q12852	ENSP00000448689	STE
MAP3K13	M3K13_HUMAN	O43283	ENSP00000265026	STE
MAP3K14	M3K14_HUMAN	Q99558	-	STE
MAP3K15	M3K15_HUMAN	Q6ZN16	ENSP00000345629	STE
MAP3K19	M3K19_HUMAN	Q56UN5	ENSP00000365005	STE
MAP3K2	M3K2_HUMAN	Q9Y2U5	ENSP00000343463	STE
MAP3K3	M3K3_HUMAN	Q99759	ENSP00000462086	STE
MAP3K4	M3K4_HUMAN	Q9Y6R4	ENSP00000375986	STE
MAP3K5	M3K5_HUMAN	Q99683	ENSP00000351908	STE
MAP3K6	M3K6_HUMAN	O95382	ENSP00000419591	STE
MAP3K7	M3K7_HUMAN	O43318	ENSP00000358335	STE
MAP3K8	M3K8_HUMAN	P41279	-	STE
MAP3K9	M3K9_HUMAN	P80192	ENSP00000451263	STE
MAP4K1	M4K1_HUMAN	Q92918	ENSP00000380066	STE
MAP4K2	M4K2_HUMAN	Q12851	ENSP00000294066	STE
MAP4K3	M4K3_HUMAN	Q8IVH8	ENSP00000263881	STE
MAP4K4	M4K4_HUMAN	O95819	ENSP00000313644	STE
MAP4K5	M4K5_HUMAN	Q9Y4K4	ENSP00000013125	STE
MINK1	MINK1_HUMAN	Q8N4C8	ENSP00000347427	STE
MLK4	M3KL4_HUMAN	Q5TCX8	ENSP00000355583	STE
MST4	MST4_HUMAN	Q9P289	ENSP00000377867	STE
MYO3A	MYO3A_HUMAN	Q8NEV4	ENSP00000265944	STE
MYO3B	MYO3B_HUMAN	Q8WXR4	ENSP00000335100	STE
NRK	NRK_HUMAN	Q7Z2Y5	ENSP00000438378	STE
OXSR1	OXSR1_HUMAN	O95747	ENSP00000311713	STE
PAK1	PAK1_HUMAN	Q13153	ENSP00000348696	STE
PAK2	PAK2_HUMAN	Q13177	ENSP00000314067	STE
PAK3	PAK3_HUMAN	O75914	ENSP00000361080	STE
PAK4	PAK4_HUMAN	O96013	ENSP00000392753	STE
PAK6	PAK6_HUMAN	Q9NQU5	ENSP00000406873	STE
PAK7	PAK7_HUMAN	Q9P286	ENSP00000322957	STE
PBK	TOPK_HUMAN	Q96KB5	ENSP00000301905	STE
SLK	SLK_HUMAN	Q9H2G2	ENSP00000358770	STE
STK10	STK10_HUMAN	O94804	-	STE
STK24	STK24_HUMAN	Q9Y6E0	ENSP00000365730	STE
STK25	STK25_HUMAN	O00506	ENSP00000325748	STE
STK3	STK3_HUMAN	Q13188	ENSP00000390500	STE
STK39	STK39_HUMAN	Q9UEW8	ENSP00000348278	STE
STK4	STK4_HUMAN	Q13043	ENSP00000361892	STE
STRADA	STRAA_HUMAN	Q7RTN6	ENSP00000336655	STE
STRADB	STRAB_HUMAN	Q9C0K7	ENSP00000194530	STE
TAOK1	TAOK1_HUMAN	Q7L7X3	ENSP00000261716	STE
TAOK2	TAOK2_HUMAN	Q9UL54	ENSP00000310094	STE
TAOK3	TAOK3_HUMAN	Q9H2K8	ENSP00000376317	STE
TNIK	TNIK_HUMAN	Q9UKE5	ENSP00000399511	STE
ZAK	MLTK_HUMAN	Q9NYL2	ENSP00000364361	STE
ACVR1	ACVR1_HUMAN	Q04771	ENSP00000387127	TKL
ACVR1B	ACV1B_HUMAN	P36896	ENSP00000257963	TKL
ACVR1C	ACV1C_HUMAN	Q8NER5	ENSP00000243349	TKL
ACVR2A	AVR2A_HUMAN	P27037	ENSP00000384338	TKL
ACVR2B	AVR2B_HUMAN	Q13705	ENSP00000340361	TKL
ACVRL1	ACVL1_HUMAN	P37023	ENSP00000373574	TKL
AMHR2	AMHR2_HUMAN	Q16671	ENSP00000257863	TKL
ANKK1	ANKK1_HUMAN	Q8NFD2	ENSP00000306678	TKL
ARAF	ARAF_HUMAN	P10398	ENSP00000366244	TKL
BMPR1A	BMR1A_HUMAN	P36894	ENSP00000361107	TKL
BMPR1B	BMR1B_HUMAN	O00238	ENSP00000426617	TKL
BMPR2	BMPR2_HUMAN	Q13873	ENSP00000363708	TKL
BRAF	BRAF_HUMAN	P15056	ENSP00000288602	TKL
ILK	ILK_HUMAN	Q13418	ENSP00000299421	TKL
IRAK1	IRAK1_HUMAN	P51617	ENSP00000358997	TKL
IRAK2	IRAK2_HUMAN	O43187	ENSP00000256458	TKL
IRAK3	IRAK3_HUMAN	Q9Y616	ENSP00000261233	TKL
IRAK4	IRAK4_HUMAN	Q9NWZ3	ENSP00000446490	TKL
KSR1	KSR1_HUMAN	Q8IVT5	ENSP00000323178	TKL
KSR2	KSR2_HUMAN	Q6VAB6	ENSP00000339952	TKL
LIMK1	LIMK1_HUMAN	P53667	ENSP00000336740	TKL
LIMK2	LIMK2_HUMAN	P53671	ENSP00000332687	TKL
LRRK1	LRRK1_HUMAN	Q38SD2	ENSP00000373600	TKL
LRRK2	LRRK2_HUMAN	Q5S007	ENSP00000298910	TKL
RAF1	RAF1_HUMAN	P04049	ENSP00000251849	TKL
RIPK1	RIPK1_HUMAN	Q13546	ENSP00000369773	TKL
RIPK2	RIPK2_HUMAN	O43353	ENSP00000220751	TKL
RIPK3	RIPK3_HUMAN	Q9Y572	ENSP00000216274	TKL
RIPK4	RIPK4_HUMAN	P57078	ENSP00000332454	TKL
TESK1	TESK1_HUMAN	Q15569	ENSP00000338127	TKL
TESK2	TESK2_HUMAN	Q96S53	ENSP00000361158	TKL
TGFBR1	TGFR1_HUMAN	P36897	ENSP00000364133	TKL
TGFBR2	TGFR2_HUMAN	P37173	ENSP00000295754	TKL
TNNI3K	TNI3K_HUMAN	Q59H18	ENSP00000322251	TKL
AATK	LMTK1_HUMAN	Q6ZMQ8	ENSP00000324196	Tyr
ABL1	ABL1_HUMAN	P00519	ENSP00000361423	Tyr
ABL2	ABL2_HUMAN	P42684	ENSP00000427562	Tyr
ALK	ALK_HUMAN	Q9UM73	ENSP00000373700	Tyr
AXL	UFO_HUMAN	P30530	ENSP00000301178	Tyr
BLK	BLK_HUMAN	P51451	ENSP00000259089	Tyr
BMX	BMX_HUMAN	P51813	ENSP00000340082	Tyr
BTK	BTK_HUMAN	Q06187	ENSP00000308176	Tyr
CSF1R	CSF1R_HUMAN	P07333	ENSP00000286301	Tyr
CSK	CSK_HUMAN	P41240	ENSP00000438808	Tyr
DDR1	DDR1_HUMAN	Q08345	-	Tyr
DDR2	DDR2_HUMAN	Q16832	ENSP00000356899	Tyr
EGFR	EGFR_HUMAN	P00533	ENSP00000275493	Tyr
EPHA1	EPHA1_HUMAN	P21709	ENSP00000275815	Tyr
EPHA10	EPHAA_HUMAN	Q5JZY3	ENSP00000397746	Tyr
EPHA2	EPHA2_HUMAN	P29317	ENSP00000351209	Tyr
EPHA3	EPHA3_HUMAN	P29320	ENSP00000337451	Tyr
EPHA4	EPHA4_HUMAN	P54764	ENSP00000281821	Tyr
EPHA5	EPHA5_HUMAN	P54756	ENSP00000273854	Tyr
EPHA6	EPHA6_HUMAN	Q9UF33	ENSP00000374323	Tyr
EPHA7	EPHA7_HUMAN	Q15375	ENSP00000358309	Tyr
EPHA8	EPHA8_HUMAN	P29322	ENSP00000166244	Tyr
EPHB1	EPHB1_HUMAN	P54762	ENSP00000381097	Tyr
EPHB2	EPHB2_HUMAN	P29323	ENSP00000363763	Tyr
EPHB3	EPHB3_HUMAN	P54753	ENSP00000332118	Tyr
EPHB4	EPHB4_HUMAN	P54760	ENSP00000350896	Tyr
EPHB6	EPHB6_HUMAN	O15197	ENSP00000376684	Tyr
ERBB2	ERBB2_HUMAN	P04626	ENSP00000269571	Tyr
ERBB3	ERBB3_HUMAN	P21860	ENSP00000267101	Tyr
ERBB4	ERBB4_HUMAN	Q15303	ENSP00000385565	Tyr
FER	FER_HUMAN	P16591	ENSP00000281092	Tyr
FES	FES_HUMAN	P07332	ENSP00000331504	Tyr
FGFR1	FGFR1_HUMAN	P11362	ENSP00000400162	Tyr
FGFR2	FGFR2_HUMAN	P21802	ENSP00000309878	Tyr
FGFR3	FGFR3_HUMAN	P22607	ENSP00000339824	Tyr
FGFR4	FGFR4_HUMAN	P22455	ENSP00000292408	Tyr
FGR	FGR_HUMAN	P09769	ENSP00000363117	Tyr
FLT1	VGFR1_HUMAN	P17948	ENSP00000282397	Tyr
FLT3	FLT3_HUMAN	P36888	ENSP00000370369	Tyr
FLT4	VGFR3_HUMAN	P35916	ENSP00000261937	Tyr
FRK	FRK_HUMAN	P42685	-	Tyr
FYN	FYN_HUMAN	P06241	ENSP00000357656	Tyr
HCK	HCK_HUMAN	P08631	ENSP00000444986	Tyr
IGF1R	IGF1R_HUMAN	P08069	ENSP00000268035	Tyr
INSR	INSR_HUMAN	P06213	ENSP00000303830	Tyr
INSRR	INSRR_HUMAN	P14616	ENSP00000357178	Tyr
ITK	ITK_HUMAN	Q08881	ENSP00000398655	Tyr
JAK1	JAK1_HUMAN	P23458	ENSP00000343204	Tyr
JAK2	JAK2_HUMAN	O60674	ENSP00000371067	Tyr
JAK3	JAK3_HUMAN	P52333	ENSP00000432511	Tyr
KDR	VGFR2_HUMAN	P35968	ENSP00000263923	Tyr
KIT	KIT_HUMAN	P10721	ENSP00000288135	Tyr
LCK	LCK_HUMAN	P06239	ENSP00000337825	Tyr
LMTK2	LMTK2_HUMAN	Q8IWU2	ENSP00000297293	Tyr
LMTK3	LMTK3_HUMAN	Q96Q04	ENSP00000472020	Tyr
LTK	LTK_HUMAN	P29376	ENSP00000347293	Tyr
LYN	LYN_HUMAN	P07948	ENSP00000428924	Tyr
MATK	MATK_HUMAN	P42679	ENSP00000378485	Tyr
MERTK	MERTK_HUMAN	Q12866	ENSP00000295408	Tyr
MET	MET_HUMAN	P08581	ENSP00000317272	Tyr
MST1R	RON_HUMAN	Q04912	ENSP00000296474	Tyr
MUSK	MUSK_HUMAN	O15146	ENSP00000189978	Tyr
NTRK1	NTRK1_HUMAN	P04629	ENSP00000431418	Tyr
NTRK2	NTRK2_HUMAN	Q16620	ENSP00000365387	Tyr
NTRK3	NTRK3_HUMAN	Q16288	ENSP00000377990	Tyr
PDGFRA	PGFRA_HUMAN	P16234	ENSP00000257290	Tyr
PDGFRB	PGFRB_HUMAN	P09619	ENSP00000261799	Tyr
PTK2	FAK1_HUMAN	Q05397	ENSP00000429474	Tyr
PTK2B	FAK2_HUMAN	Q14289	ENSP00000332816	Tyr
PTK6	PTK6_HUMAN	Q13882	ENSP00000217185	Tyr
PTK7	PTK7_HUMAN	Q13308	ENSP00000230419	Tyr
RET	RET_HUMAN	P07949	ENSP00000347942	Tyr
ROR1	ROR1_HUMAN	Q01973	ENSP00000360120	Tyr
ROR2	ROR2_HUMAN	Q01974	ENSP00000364860	Tyr
ROS1	ROS1_HUMAN	P08922	ENSP00000357494	Tyr
RYK	RYK_HUMAN	P34925	ENSP00000399527	Tyr
SRC	SRC_HUMAN	P12931	ENSP00000408503	Tyr
SRMS	SRMS_HUMAN	Q9H3Y6	ENSP00000217188	Tyr
