#GO	N_DIS	TOT_DIS	PERC_DIS	N_NEU	TOT_NEU	PERC	NEU	LOG_ODDS	DESCRIPTION
GO:0050776	0	65	0.00	6	389	1.54	0.00	-30.52	(BP) regulation of immune response
GO:0050778	0	65	0.00	6	389	1.54	0.00	-30.52	(BP) positive regulation of immune response
GO:0051092	0	65	0.00	6	389	1.54	0.00	-30.52	(BP) positive regulation of NF-kappaB transcription factor activity
GO:0051100	0	65	0.00	6	389	1.54	0.00	-30.52	(BP) negative regulation of binding
GO:0000139	0	65	0.00	5	389	1.29	0.00	-30.26	(CC) Golgi membrane
GO:0003713	0	65	0.00	5	389	1.29	0.00	-30.26	(MF) transcription coactivator activity
GO:0004691	0	65	0.00	5	389	1.29	0.00	-30.26	(MF) cAMP-dependent protein kinase activity
GO:0006325	0	65	0.00	5	389	1.29	0.00	-30.26	(BP) chromatin organization
GO:0006357	0	65	0.00	5	389	1.29	0.00	-30.26	(BP) regulation of transcription from RNA polymerase II promoter
GO:0006396	0	65	0.00	5	389	1.29	0.00	-30.26	(BP) RNA processing
GO:0006397	0	65	0.00	5	389	1.29	0.00	-30.26	(BP) mRNA processing
GO:0009755	0	65	0.00	5	389	1.29	0.00	-30.26	(BP) hormone-mediated signaling pathway
GO:0016192	0	65	0.00	5	389	1.29	0.00	-30.26	(BP) vesicle-mediated transport
GO:0016568	0	65	0.00	5	389	1.29	0.00	-30.26	(BP) chromatin modification
GO:0030178	0	65	0.00	5	389	1.29	0.00	-30.26	(BP) negative regulation of Wnt receptor signaling pathway
GO:0031625	0	65	0.00	5	389	1.29	0.00	-30.26	(MF) ubiquitin protein ligase binding
GO:0043392	0	65	0.00	5	389	1.29	0.00	-30.26	(BP) negative regulation of DNA binding
GO:0043433	0	65	0.00	5	389	1.29	0.00	-30.26	(BP) negative regulation of transcription factor activity
GO:0044433	0	65	0.00	5	389	1.29	0.00	-30.26	(CC) cytoplasmic vesicle part
GO:0070555	0	65	0.00	5	389	1.29	0.00	-30.26	(BP) response to interleukin-1
GO:0071901	0	65	0.00	5	389	1.29	0.00	-30.26	(BP) negative regulation of protein serine/threonine kinase activity
GO:0090048	0	65	0.00	5	389	1.29	0.00	-30.26	(BP) negative regulation of transcription regulator activity
GO:0002218	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) activation of innate immune response
GO:0002221	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) pattern recognition receptor signaling pathway
GO:0002224	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) toll-like receptor signaling pathway
GO:0002758	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) innate immune response-activating signal transduction
GO:0004518	0	65	0.00	4	389	1.03	0.00	-29.94	(MF) nuclease activity
GO:0004704	0	65	0.00	4	389	1.03	0.00	-29.94	(MF) NF-kappaB-inducing kinase activity
GO:0005783	0	65	0.00	4	389	1.03	0.00	-29.94	(CC) endoplasmic reticulum
GO:0005912	0	65	0.00	4	389	1.03	0.00	-29.94	(CC) adherens junction
GO:0006260	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) DNA replication
GO:0006811	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) ion transport
GO:0007059	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) chromosome segregation
GO:0007399	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) nervous system development
GO:0012506	0	65	0.00	4	389	1.03	0.00	-29.94	(CC) vesicle membrane
GO:0030145	0	65	0.00	4	389	1.03	0.00	-29.94	(MF) manganese ion binding
GO:0030529	0	65	0.00	4	389	1.03	0.00	-29.94	(CC) ribonucleoprotein complex
GO:0030659	0	65	0.00	4	389	1.03	0.00	-29.94	(CC) cytoplasmic vesicle membrane
GO:0031347	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) regulation of defense response
GO:0031349	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) positive regulation of defense response
GO:0031532	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) actin cytoskeleton reorganization
GO:0035329	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) hippo signaling cascade
GO:0045088	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) regulation of innate immune response
GO:0045089	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) positive regulation of innate immune response
GO:0046626	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) regulation of insulin receptor signaling pathway
GO:0051093	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) negative regulation of developmental process
GO:0070161	0	65	0.00	4	389	1.03	0.00	-29.94	(CC) anchoring junction
GO:0090090	0	65	0.00	4	389	1.03	0.00	-29.94	(BP) negative regulation of canonical Wnt receptor signaling pathway
GO:0000086	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) G2/M transition of mitotic cell cycle
GO:0001817	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) regulation of cytokine production
GO:0001959	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) regulation of cytokine-mediated signaling pathway
GO:0002237	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) response to molecule of bacterial origin
GO:0002755	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) MyD88-dependent toll-like receptor signaling pathway
GO:0003013	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) circulatory system process
GO:0003018	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) vascular process in circulatory system
GO:0003723	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) RNA binding
GO:0004519	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) endonuclease activity
GO:0004521	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) endoribonuclease activity
GO:0004540	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) ribonuclease activity
GO:0004706	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) JUN kinase kinase kinase activity
GO:0005080	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) protein kinase C binding
GO:0005085	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) guanyl-nucleotide exchange factor activity
GO:0005088	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) Ras guanyl-nucleotide exchange factor activity
GO:0005089	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) Rho guanyl-nucleotide exchange factor activity
GO:0005924	0	65	0.00	3	389	0.77	0.00	-29.52	(CC) cell-substrate adherens junction
GO:0005925	0	65	0.00	3	389	0.77	0.00	-29.52	(CC) focal adhesion
GO:0005954	0	65	0.00	3	389	0.77	0.00	-29.52	(CC) calcium- and calmodulin-dependent protein kinase complex
GO:0006605	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) protein targeting
GO:0006629	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) lipid metabolic process
GO:0006812	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) cation transport
GO:0006913	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) nucleocytoplasmic transport
GO:0006954	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) inflammatory response
GO:0007163	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) establishment or maintenance of cell polarity
GO:0007172	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) signal complex assembly
GO:0007517	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) muscle organ development
GO:0008384	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) IkappaB kinase activity
GO:0010551	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) regulation of gene-specific transcription from RNA polymerase II promoter
GO:0016462	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) pyrophosphatase activity
GO:0016607	0	65	0.00	3	389	0.77	0.00	-29.52	(CC) nuclear speck
GO:0016817	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) hydrolase activity, acting on acid anhydrides
GO:0016818	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
GO:0016891	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) endoribonuclease activity, producing 5'-phosphomonoesters
GO:0016893	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
GO:0017111	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) nucleoside-triphosphatase activity
GO:0019209	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) kinase activator activity
GO:0030001	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) metal ion transport
GO:0030027	0	65	0.00	3	389	0.77	0.00	-29.52	(CC) lamellipodium
GO:0030055	0	65	0.00	3	389	0.77	0.00	-29.52	(CC) cell-substrate junction
GO:0030295	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) protein kinase activator activity
GO:0030666	0	65	0.00	3	389	0.77	0.00	-29.52	(CC) endocytic vesicle membrane
GO:0031252	0	65	0.00	3	389	0.77	0.00	-29.52	(CC) cell leading edge
GO:0032088	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) negative regulation of NF-kappaB transcription factor activity
GO:0032496	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) response to lipopolysaccharide
GO:0033044	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) regulation of chromosome organization
GO:0034199	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) activation of protein kinase A activity
GO:0035023	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) regulation of Rho protein signal transduction
GO:0035184	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) histone threonine kinase activity
GO:0035257	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) nuclear hormone receptor binding
GO:0035258	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) steroid hormone receptor binding
GO:0042801	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) polo kinase kinase activity
GO:0043005	0	65	0.00	3	389	0.77	0.00	-29.52	(CC) neuron projection
GO:0043114	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) regulation of vascular permeability
GO:0043407	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) negative regulation of MAP kinase activity
GO:0044255	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) cellular lipid metabolic process
GO:0044450	0	65	0.00	3	389	0.77	0.00	-29.52	(CC) microtubule organizing center part
GO:0044463	0	65	0.00	3	389	0.77	0.00	-29.52	(CC) cell projection part
GO:0045596	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) negative regulation of cell differentiation
GO:0045637	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) regulation of myeloid cell differentiation
GO:0045646	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) regulation of erythrocyte differentiation
GO:0045727	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) positive regulation of translation
GO:0045934	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process
GO:0045948	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) positive regulation of translational initiation
GO:0046578	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) regulation of Ras protein signal transduction
GO:0046627	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) negative regulation of insulin receptor signaling pathway
GO:0050321	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) tau-protein kinase activity
GO:0050681	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) androgen receptor binding
GO:0050684	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) regulation of mRNA processing
GO:0051046	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) regulation of secretion
GO:0051056	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) regulation of small GTPase mediated signal transduction
GO:0051168	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) nuclear export
GO:0051169	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) nuclear transport
GO:0051172	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) negative regulation of nitrogen compound metabolic process
GO:0051493	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) regulation of cytoskeleton organization
GO:0055103	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) ligase regulator activity
GO:0055106	0	65	0.00	3	389	0.77	0.00	-29.52	(MF) ubiquitin-protein ligase regulator activity
GO:0061061	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) muscle structure development
GO:0070498	0	65	0.00	3	389	0.77	0.00	-29.52	(BP) interleukin-1-mediated signaling pathway
GO:0000080	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) G1 phase of mitotic cell cycle
GO:0000155	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) two-component sensor activity
GO:0000776	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) kinetochore
GO:0000777	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) condensed chromosome kinetochore
GO:0000910	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) cytokinesis
GO:0000922	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) spindle pole
GO:0001672	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of chromatin assembly or disassembly
GO:0001933	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) negative regulation of protein phosphorylation
GO:0001948	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) glycoprotein binding
GO:0002429	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) immune response-activating cell surface receptor signaling pathway
GO:0002768	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) immune response-regulating cell surface receptor signaling pathway
GO:0003682	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) chromatin binding
GO:0003714	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) transcription corepressor activity
GO:0003774	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) motor activity
GO:0004673	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) protein histidine kinase activity
GO:0004692	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) cGMP-dependent protein kinase activity
GO:0004705	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) JUN kinase activity
GO:0004721	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) phosphoprotein phosphatase activity
GO:0004722	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) protein serine/threonine phosphatase activity
GO:0004740	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) pyruvate dehydrogenase (acetyl-transferring) kinase activity
GO:0005011	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) macrophage colony-stimulating factor receptor activity
GO:0005017	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) platelet-derived growth factor receptor activity
GO:0005161	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) platelet-derived growth factor receptor binding
GO:0005622	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) intracellular
GO:0005667	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) transcription factor complex
GO:0005759	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) mitochondrial matrix
GO:0005769	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) early endosome
GO:0005814	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) centriole
GO:0005819	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) spindle
GO:0005840	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) ribosome
GO:0005874	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) microtubule
GO:0005952	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) cAMP-dependent protein kinase complex
GO:0006352	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) transcription initiation
GO:0006354	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) RNA elongation
GO:0006367	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) transcription initiation from RNA polymerase II promoter
GO:0006368	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) RNA elongation from RNA polymerase II promoter
GO:0006412	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) translation
GO:0006611	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) protein export from nucleus
GO:0006816	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) calcium ion transport
GO:0007089	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) traversing start control point of mitotic cell cycle
GO:0007126	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) meiosis
GO:0007159	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) leukocyte cell-cell adhesion
GO:0007187	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) G-protein signaling, coupled to cyclic nucleotide second messenger
GO:0007188	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) G-protein signaling, coupled to cAMP nucleotide second messenger
GO:0007217	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) tachykinin receptor signaling pathway
GO:0007229	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) integrin-mediated signaling pathway
GO:0007266	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) Rho protein signal transduction
GO:0008016	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of heart contraction
GO:0008353	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) RNA polymerase II carboxy-terminal domain kinase activity
GO:0008380	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) RNA splicing
GO:0008610	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) lipid biosynthetic process
GO:0010506	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of autophagy
GO:0010510	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of acetyl-CoA biosynthetic process from pyruvate
GO:0010563	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) negative regulation of phosphorus metabolic process
GO:0010769	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of cell morphogenesis involved in differentiation
GO:0015630	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) microtubule cytoskeleton
GO:0015674	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) di-, tri-valent inorganic cation transport
GO:0016459	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) myosin complex
GO:0016564	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) transcription repressor activity
GO:0016569	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) covalent chromatin modification
GO:0016570	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) histone modification
GO:0016572	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) histone phosphorylation
GO:0016775	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) phosphotransferase activity, nitrogenous group as acceptor
GO:0016791	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) phosphatase activity
GO:0016887	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) ATPase activity
GO:0016909	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) SAP kinase activity
GO:0018106	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) peptidyl-histidine phosphorylation
GO:0018202	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) peptidyl-histidine modification
GO:0019002	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) GMP binding
GO:0019208	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) phosphatase regulator activity
GO:0019888	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) protein phosphatase regulator activity
GO:0019933	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) cAMP-mediated signaling
GO:0019935	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) cyclic-nucleotide-mediated signaling
GO:0022008	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) neurogenesis
GO:0022604	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of cell morphogenesis
GO:0030030	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) cell projection organization
GO:0030330	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) DNA damage response, signal transduction by p53 class mediator
GO:0030332	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) cyclin binding
GO:0030374	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) ligand-dependent nuclear receptor transcription coactivator activity
GO:0030424	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) axon
GO:0030426	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) growth cone
GO:0030427	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) site of polarized growth
GO:0030551	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) cyclic nucleotide binding
GO:0030553	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) cGMP binding
GO:0030811	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of nucleotide catabolic process
GO:0031647	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of protein stability
GO:0031929	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) TOR signaling cascade
GO:0032655	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of interleukin-12 production
GO:0032956	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of actin cytoskeleton organization
GO:0032989	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) cellular component morphogenesis
GO:0033121	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of purine nucleotide catabolic process
GO:0034134	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) toll-like receptor 2 signaling pathway
GO:0034339	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of transcription from RNA polymerase II promoter by nuclear hormone receptor
GO:0035403	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) histone kinase activity (H3-T6 specific)
GO:0042035	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of cytokine biosynthetic process
GO:0042326	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) negative regulation of phosphorylation
GO:0042578	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) phosphoric ester hydrolase activity
GO:0042623	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) ATPase activity, coupled
GO:0042826	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) histone deacetylase binding
GO:0043393	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of protein binding
GO:0043523	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of neuron apoptosis
GO:0043539	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) protein serine/threonine kinase activator activity
GO:0044454	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) nuclear chromosome part
GO:0045202	0	65	0.00	2	389	0.51	0.00	-28.94	(CC) synapse
GO:0045599	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) negative regulation of fat cell differentiation
GO:0045639	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) positive regulation of myeloid cell differentiation
GO:0045648	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) positive regulation of erythrocyte differentiation
GO:0045736	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) negative regulation of cyclin-dependent protein kinase activity
GO:0045767	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) regulation of anti-apoptosis
GO:0045768	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) positive regulation of anti-apoptosis
GO:0045936	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) negative regulation of phosphate metabolic process
GO:0045944	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) positive regulation of transcription from RNA polymerase II promoter
GO:0046330	0	65	0.00	2	389	0.51	0.00	-28.94	(BP) positive regulation of JNK cascade
GO:0047696	0	65	0.00	2	389	0.51	0.00	-28.94	(MF) beta-adrenergic receptor kinase activity
